# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "6" "-s" "2" "-a" "downloads/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "counts/counts.txt" "hisat2/control_ribo_rep1_sorted_markdup_filt.bam" 
Geneid	Chr	Start	End	Strand	Length	hisat2/control_ribo_rep1_sorted_markdup_filt.bam
YJL105W	X	225055	226737	+	1683	45
YJL215C	X	26412	26771	-	360	84
YJR070C	X	569621	570598	-	978	5463
YJR097W	X	612413	612931	+	519	129
YJL126W	X	184501	185424	+	924	704
YJL214W	X	26887	28596	+	1710	61
YJL166W	X	106434	106718	+	285	2064
YJL023C	X	397355	398398	-	1044	749
YJL094C	X	251821	254442	-	2622	3740
YJR054W	X	536056	537549	+	1494	1132
YJR141W	X	695906	696949	+	1044	645
YJL191W	X;X	73787;74205	73796;74611	+;+	417	2800
YJR135C	X	676059	676778	-	720	266
YJL049W	X	345973	347325	+	1353	550
YJR155W	X	727405	728271	+	867	722
YJL109C	X	212000	217309	-	5310	16134
YJL013C	X	409493	411040	-	1548	954
YJL141C	X	147967	150390	-	2424	9817
YJL133C-A	X	159623	159847	-	225	739
YJL178C	X	89282	90097	-	816	1899
YJR022W	X	469784	470113	+	330	247
YJL062W	X	317284	319776	+	2493	2498
YJL197C-A	X	65805	66086	-	282	0
YJL082W	X	281185	283380	+	2196	5675
YJL120W	X	191022	191345	+	324	4
YJL098W	X	242082	245258	+	3177	3605
YJL152W	X	136174	136533	+	360	16
YJR162C	X	744911	745261	-	351	0
YJL196C	X	67850	68782	-	933	3252
YJL003W	X	432644	433000	+	357	382
YJL015C	X	407142	407426	-	285	4
YJL075C	X	298460	298876	-	417	6
YJR020W	X	468001	468333	+	333	94
YJL205C	X;X	50139;50412	50268;50443	-;-	162	199
YJR113C	X	638232	638975	-	744	1664
YJR111C	X	635855	636706	-	852	976
YJR055W	X	538772	539266	+	495	180
tY(GUA)J2	X;X	542956;543006	542991;543044	-;-	75	1
YJL148W	X	140437	141138	+	702	1621
tS(AGA)J	X	524012	524093	-	82	3
YJL097W	X	245591	246244	+	654	1968
YJL031C	X;X	386368;387436	387348;387438	-;-	984	1642
YJR132W	X	669522	672668	+	3147	3688
YJL092W	X	257423	260947	+	3525	4055
YJL083W	X	278841	280655	+	1815	1678
YJL175W	X	94049	94561	+	513	6
YJL225W-A	X	829	1311	+	483	0
snR60	X	349130	349233	-	104	18
YJL102W	X	231301	233760	+	2460	1692
YJL077W-A	X	294799	294885	+	87	104
YJL052C-A	X	337884	338003	-	120	4
YJR083C	X	582608	583537	-	930	714
YJL128C	X	178097	180103	-	2007	3452
YJR005C-A	X	448477	448758	-	282	6
YJR042W	X	514055	516289	+	2235	2413
YJL209W	X	38005	39969	+	1965	921
YJL087C	X	270002	272485	-	2484	1392
YJR127C	X	658917	663059	-	4143	5824
YJL210W	X	36919	37734	+	816	1224
YJR134C	X	673729	675852	-	2124	2433
YJL076W	X	295245	298814	+	3570	12282
YJR027W	X	472760	478028	+	5269	12757
YJL113W	X	198678	203325	+	4648	425
YJR026W	X	472760	474082	+	1323	0
YJR028W	X	478344	479666	+	1323	0
YJL114W	X	197915	198595	+	681	44
YJR029W	X	478344	483612	+	5269	11445
YKL103C	XI	246138	247682	-	1545	4352
tL(UAA)K	XI	84208	84291	+	84	0
YKL131W	XI	194478	194999	+	522	6
tV(AAC)K1	XI	308144	308217	-	74	0
tT(CGU)K	XI	46735	46806	-	72	0
snR69	XI	364776	364876	+	101	95
YKR004C	XI;XI	446799;447811	447706;448036	-;-	1134	344
YKR092C	XI	612665	613885	-	1221	5167
YKL002W	XI;XI	437778;437906	437837;438544	+;+	699	1597
tA(AGC)K1	XI	219895	219967	+	73	0
YKL173W	XI	122517	125543	+	3027	3072
YKL061W	XI	325771	326112	+	342	461
YKL139W	XI	182958	184544	+	1587	1080
YKL180W	XI;XI	109269;109884	109577;110129	+;+	555	16463
YKL004W	XI	435580	436785	+	1206	3742
YKL143W	XI	176781	178172	+	1392	2516
YKL062W	XI	323228	325120	+	1893	4119
YKL172W	XI	125759	127042	+	1284	3914
YKR014C	XI	465367	466071	-	705	2024
YKL149C	XI	167612	168829	-	1218	726
YKR099W	XI	635851	638286	+	2436	2173
YKL110C	XI	228939	229880	-	942	1294
YKL094W	XI	263349	264290	+	942	3684
YKR094C	XI;XI	617996;618743	618374;618750	-;-	387	10252
YKR058W	XI	552770	554620	+	1851	4333
YKL183C-A	XI	98395	98607	-	213	0
YKR052C	XI	532550	533464	-	915	1118
YKL157W	XI;XI	154991;155655	155271;158232	+;+	2859	11733
YKL068W-A	XI	309206	309442	+	237	287
YKR062W	XI	559666	560652	+	987	1853
YKL091C	XI	269718	270650	-	933	1584
YKR073C	XI	578187	578507	-	321	111
YKR087C	XI	603195	604232	-	1038	1314
YKL070W	XI	306211	306720	+	510	14
YKR038C	XI	511999	513159	-	1161	2012
YKR048C	XI	525387	526640	-	1254	9217
YKL096W-A	XI	259253	259531	+	279	21205
YKL014C	XI	411619	416913	-	5295	8388
YKR082W	XI	592825	596298	+	3474	5066
YKR045C	XI	523418	523969	-	552	401
YKL018C-A	XI	403580	403879	-	300	100
YKL126W	XI	205707	207749	+	2043	6382
YKR072C	XI	576435	578123	-	1689	7030
YKR075W-A	XI	580212	580481	+	270	11
YKL074C	XI	294610	296193	-	1584	1435
YKL087C	XI	277189	277863	-	675	639
YKL018W	XI	404102	405091	+	990	1125
YKL135C	XI	186460	188640	-	2181	3422
YKL112W	XI	226570	228765	+	2196	1886
YKR085C	XI	599094	599681	-	588	846
YKR102W	XI	646356	649865	+	3510	259
YKL217W	XI	22234	24084	+	1851	1291
YKR044W	XI	522015	523346	+	1332	1257
YKR080W	XI	590395	591357	+	963	7923
YKL065W-A	XI	315954	316175	+	222	25
YKL156C-A	XI	158975	159091	-	117	1
YKR068C	XI	570328	570909	-	582	1373
YKR027W	XI	491364	493661	+	2298	1777
YKL081W	XI;XI	282891;283422	283095;284455	+;+	1239	21856
YKR022C	XI	482171	483139	-	969	922
YKL083W	XI	280921	281535	+	615	49
YKL198C	XI	68232	70220	-	1989	1758
YKR007W	XI	451434	451988	+	555	668
YKR078W	XI	584952	586709	+	1758	924
YKR001C	XI	440608	442722	-	2115	9392
YKR025W	XI	487770	488618	+	849	1156
YKL124W	XI	210593	212332	+	1740	1234
YKR095W	XI	619805	625432	+	5628	11950
YKL129C	XI	196349	200167	-	3819	5719
YKL100C	XI	253697	255460	-	1764	4440
YKL041W	XI	360143	360817	+	675	309
YKL221W	XI	6107	7528	+	1422	58
YKL031W	XI	382072	382485	+	414	48
YKR074W	XI	579209	579676	+	468	1443
YKL138C	XI	185286	185681	-	396	745
YKL063C	XI	321015	321518	-	504	983
tK(UUU)K	XI;XI	578965;579025	579001;579060	+;+	73	9
YKL024C	XI	392526	393140	-	615	2617
YKL086W	XI	278281	278664	+	384	235
YKL073W	XI	296430	299075	+	2646	5450
YKR006C	XI	450423	451217	-	795	1458
YKL034W	XI	371829	374105	+	2277	2073
YKL118W	XI	219126	219437	+	312	0
YKL104C	XI	243220	245373	-	2154	13251
YKL191W	XI	81035	82639	+	1605	4741
YKR042W	XI	519527	520624	+	1098	21009
YKR013W	XI	463959	464948	+	990	6376
YKR101W	XI	640540	642504	+	1965	428
YKL039W	XI	362622	364193	+	1572	4668
YKL214C	XI	31082	31693	-	612	833
YKL155C	XI	159456	161342	-	1887	1380
YKL116C	XI	221344	222900	-	1557	2072
YKR089C	XI	605633	608365	-	2733	5183
YKR018C	XI	473723	475900	-	2178	7780
YKR079C	XI	586789	589305	-	2517	2261
YKL153W	XI	163600	164109	+	510	76
YKL027W	XI	387562	388905	+	1344	1428
YKL100W-A	XI	254159	254248	+	90	0
YKL035W	XI	369891	371390	+	1500	14005
YKL084W	XI	280509	280859	+	351	722
YKL207W	XI	48194	48955	+	762	2969
YKR066C	XI	566113	567198	-	1086	4491
YKL117W	XI	220324	220974	+	651	7420
YKL140W	XI	180779	182425	+	1647	1910
YKL007W	XI	429302	430108	+	807	3505
YKL051W	XI	341312	342373	+	1062	2524
YKL022C	XI	394726	397248	-	2523	1922
YKL021C	XI	397344	398750	-	1407	1632
YKL148C	XI	169207	171129	-	1923	4590
YKL038W	XI	365605	369117	+	3513	6728
YKL125W	XI	208247	210130	+	1884	1084
YKL048C	XI	347214	349136	-	1923	722
YKL053W	XI	339572	339946	+	375	31
YKR093W	XI	615730	617535	+	1806	9227
YKL201C	XI	63930	67466	-	3537	1225
YKL123W	XI	212043	212423	+	381	17
YKL224C	XI	1810	2181	-	372	0
YKL077W	XI	291453	292631	+	1179	5075
YKR103W	XI	653080	656736	+	3657	470
YKR104W	XI	656836	657756	+	921	121
YKR024C	XI	485144	487372	-	2229	1615
YKR056W	XI	549448	551367	+	1920	2640
YKL203C	XI	55935	63359	-	7425	6937
YKR054C	XI	535647	547925	-	12279	12148
YKR057W	XI;XI	551657;552003	551680;552242	+;+	264	4976
YKL133C	XI	191679	193070	-	1392	990
tH(GUG)K	XI	313401	313472	-	72	3
YKL122C	XI	212495	212998	-	504	1669
YKR100C	XI	638901	639968	-	1068	1625
YKR083C	XI	596421	596822	-	402	337
YKL225W	XI	451	798	+	348	0
YKL189W	XI	84704	85903	+	1200	828
YKL113C	XI	224727	225875	-	1149	1405
tV(AAC)K2	XI	379680	379753	+	74	1
YKL213C	XI	31960	34107	-	2148	4704
YKL154W	XI	161601	162335	+	735	979
YKR063C	XI	560789	562297	-	1509	1265
YKL163W	XI	144401	145378	+	978	3925
YKL174C	XI	120380	122236	-	1857	2170
YKL134C	XI	189124	191442	-	2319	1148
YKR011C	XI	461635	462696	-	1062	1517
YKL005C	XI	433093	434877	-	1785	1586
YKL069W	XI	307285	307827	+	543	1173
YKL006W	XI;XI	431906;432433	432034;432720	+;+	417	8675
YKL187C	XI	89284	91536	-	2253	1700
YKL111C	XI	228464	228799	-	336	5
YKR035W-A	XI	507939	508553	+	615	1878
YKL182W	XI	100671	106826	+	6156	129271
YKL099C	XI	255720	256472	-	753	1151
YKL179C	XI	110464	112503	-	2040	3440
YKL047W	XI	349463	351013	+	1551	1327
YKL049C	XI	346075	346764	-	690	772
YKL220C	XI	9091	11226	-	2136	230
YKL183W	XI	98721	99641	+	921	1074
YKL181W	XI	107316	108599	+	1284	7548
YKL088W	XI	275283	276998	+	1716	1511
YKL209C	XI	42423	46295	-	3873	914
tL(CAA)K	XI;XI	458557;458627	458594;458670	+;+	82	0
YKR019C	XI	476216	478063	-	1848	1170
YKR012C	XI	463739	464116	-	378	29
YKL166C	XI	134509	135705	-	1197	791
YKL016C	XI	407465	407989	-	525	3249
YKR086W	XI	599857	603072	+	3216	1577
tR(ACG)K	XI	490968	491040	+	73	2
YKL141W	XI	179667	180263	+	597	2355
YKL065C	XI	316437	317057	-	621	4397
YKL013C	XI	417508	418023	-	516	2622
YKL040C	XI	361058	361828	-	771	1481
YKR061W	XI	557677	558954	+	1278	2724
YKL096W	XI	261132	261851	+	720	9327
YKR050W	XI	527815	530484	+	2670	2638
YKL170W	XI	130634	131050	+	417	1019
YKR046C	XI	524223	525074	-	852	1911
YKL210W	XI	39163	42237	+	3075	22451
YKR002W	XI	443232	444938	+	1707	2345
YKL015W	XI	408544	411483	+	2940	3177
snR87	XI	431030	431138	-	109	78
YKL009W	XI	426242	426952	+	711	3001
YKL108W	XI	234426	235787	+	1362	464
YKR097W	XI	631152	632801	+	1650	412
YKL071W	XI	305114	305884	+	771	104
YKL075C	XI	292956	294308	-	1353	768
YKL206C	XI	49006	49809	-	804	1354
tD(GUC)K	XI	513332	513403	-	72	0
YKL195W	XI	75821	77032	+	1212	4005
YKL130C	XI	195288	196028	-	741	882
YKL064W	XI	317764	320673	+	2910	7104
YKR026C	XI	488738	489655	-	918	1648
YKL076C	XI	292838	293221	-	384	36
YKL188C	XI	86225	88786	-	2562	1087
YKL196C	XI	74932	75534	-	603	3429
snR42	XI	559016	559366	-	351	5727
YKR105C	XI	658716	660464	-	1749	17
YKL109W	XI	232227	233891	+	1665	9436
YKR071C	XI	574934	575980	-	1047	3233
YKL168C	XI	131288	133462	-	2175	1781
YKL102C	XI	248062	248367	-	306	7
YKR090W	XI	608946	611066	+	2121	2257
YKR036C	XI	508702	510633	-	1932	1551
YKL202W	XI	63821	64402	+	582	46
YKR084C	XI	597055	598890	-	1836	3212
YKL216W	XI	25215	26159	+	945	3588
YKR055W	XI	548216	549091	+	876	568
YKL219W	XI	14485	15708	+	1224	896
YKL020C	XI	398832	402080	-	3249	5062
YKL178C	XI	113215	114627	-	1413	5607
YKL067W	XI	314812	315273	+	462	2828
YKL097C	XI	258503	258913	-	411	9
YKL095W	XI	262277	263113	+	837	446
YKR031C	XI	501344	506395	-	5052	4976
YKL036C	XI	369528	369920	-	393	18
YKR088C	XI	604405	605418	-	1014	1686
YKL151C	XI	164917	165930	-	1014	2202
YKL105C	XI	239185	242583	-	3399	3329
YKL169C	XI	130685	131068	-	384	13
YKL150W	XI	166544	167452	+	909	3538
YKL023C-A	XI	393146	393373	-	228	881
YKL138C-A	XI	184803	185012	-	210	409
YKL082C	XI	281025	282329	-	1305	1274
YKR070W	XI	573574	574632	+	1059	2123
YKR021W	XI	479234	481981	+	2748	2709
YKR016W	XI	469717	471339	+	1623	3337
YKR033C	XI	506879	507304	-	426	6
YKR059W	XI	554987	556174	+	1188	7952
YKR069W	XI	571612	573393	+	1782	1061
YKR053C	XI	534067	535281	-	1215	480
YKL218C	XI	17359	18339	-	981	3173
YKL167C	XI	133721	134134	-	414	681
tE(UUC)K	XI	141018	141089	-	72	1
YKL142W	XI	178515	179174	+	660	4044
YKL011C	XI	420155	421216	-	1062	762
YKL160W	XI	153269	153706	+	438	2187
YKL144C	XI	175843	176481	-	639	557
YKL055C	XI	335321	336157	-	837	210
YKR043C	XI	520897	521712	-	816	3638
YKR039W	XI	515063	516871	+	1809	602
YKL019W	XI	402568	403518	+	951	1807
YKL184W	XI	96757	98157	+	1401	3158
YKR029C	XI	497578	499833	-	2256	1668
YKL176C	XI	115500	117986	-	2487	4485
YKL033W-A	XI	374505	375215	+	711	3913
YKL090W	XI	271878	273209	+	1332	462
YKR041W	XI	518198	518950	+	753	174
YKL010C	XI	421424	425875	-	4452	6149
YKL032C	XI	380065	381858	-	1794	3867
YKR051W	XI	530946	532202	+	1257	940
YKR098C	XI	633026	635179	-	2154	1628
YKL175W	XI	118793	120304	+	1512	3235
YKL120W	XI	217344	218318	+	975	1753
YKL222C	XI	3503	5620	-	2118	715
YKL092C	XI	266145	269459	-	3315	2412
YKL068W	XI	310199	313078	+	2880	4115
YKR009C	XI	454352	457054	-	2703	813
tA(AGC)K2	XI	517988	518060	+	73	0
YKR028W	XI	494257	497358	+	3102	5614
YKR076W	XI	582283	583395	+	1113	1468
YKR106W	XI	661442	663289	+	1848	137
YKL197C	XI	70734	73865	-	3132	2442
YKL152C	XI	163642	164385	-	744	50840
YKL093W	XI	264789	265808	+	1020	834
YKL080W	XI	285030	286208	+	1179	6645
YKL185W	XI	94499	96265	+	1767	7065
YKR081C	XI	591506	592540	-	1035	2970
YKR035C	XI	507920	508561	-	642	23
YKL101W	XI	248920	253476	+	4557	7922
YKR008W	XI	452201	454078	+	1878	2204
tW(CCA)K	XI;XI	302918;302988	302953;303023	+;+	72	2
YKL056C	XI	334412	334915	-	504	17032
YKL156W	XI;XI	158613;158967	158615;159212	+;+	249	3975
YKL162C	XI	147630	148838	-	1209	563
YKL192C	XI	80160	80537	-	378	3071
YKR064W	XI	562547	565138	+	2592	1411
YKL017C	XI	405190	407241	-	2052	1405
YKL204W	XI	53704	55602	+	1899	4459
YKL190W	XI;XI	82947;83075	82998;83550	+;+	528	1307
YKL211C	XI	36699	38153	-	1455	4004
YKL115C	XI	222893	223285	-	393	80
YKL107W	XI	236141	237070	+	930	54
YKL127W	XI	203541	205253	+	1713	4353
YKL165C-A	XI	135790	136023	-	234	32
YKR049C	XI	526830	527231	-	402	895
YKL052C	XI	339668	340546	-	879	1239
YKL053C-A	XI	339182	339442	-	261	619
YKL121W	XI	214142	216700	+	2559	2046
tN(GUU)K	XI	74624	74697	+	74	4
YKL050C	XI	342852	345620	-	2769	578
YKL194C	XI	77258	78646	-	1389	901
YKR037C	XI	510910	511797	-	888	675
YKL059C	XI	328118	329443	-	1326	1136
YKL205W	XI	50051	53353	+	3303	3334
YKL137W	XI	185957	186292	+	336	440
YKR015C	XI	466961	468667	-	1707	12
YKL146W	XI	171783	173861	+	2079	3283
YKR003W	XI	445381	446727	+	1347	2494
YKL028W	XI	385758	387206	+	1449	1901
YKR010C	XI	458924	461239	-	2316	851
YKL193C	XI	78866	79882	-	1017	2578
tK(CUU)K	XI	202999	203071	+	73	4
YKL212W	XI	34543	36414	+	1872	6150
YKL147C	XI	171551	172168	-	618	13
YKL054C	XI	336537	338753	-	2217	13497
snR38	XI	283185	283279	+	95	59
YKR096W	XI	626793	630380	+	3588	4058
YKL006C-A	XI;XI	430198;430597	430455;430632	-;-	294	781
YKL164C	XI	141794	142819	-	1026	17610
YKL145W-A	XI	174958	175050	+	93	0
YKL026C	XI	389380	389883	-	504	893
YKL044W	XI	356322	356642	+	321	104
YKL089W	XI	273394	275043	+	1650	396
YKR077W	XI	583653	584744	+	1092	284
YKR095W-A	XI;XI	625864;625977	625901;626205	+;+	267	350
YKL079W	XI	286603	288573	+	1971	2895
YKL161C	XI	149386	150687	-	1302	2667
YKL159C	XI	153816	154451	-	636	1336
YKR030W	XI	500282	501103	+	822	681
YKL037W	XI	369365	369721	+	357	33
YKL042W	XI	358475	359566	+	1092	465
YKR020W	XI	478338	478832	+	495	537
YKL012W	XI	418310	420061	+	1752	2672
YKL106W	XI	237536	238891	+	1356	1150
YKR075C	XI	579827	580750	-	924	2425
YKR065C	XI	565299	565892	-	594	1820
YKL043W	XI	356748	357848	+	1101	914
YKL045W	XI	353493	355079	+	1587	947
YKR060W	XI	556518	557342	+	825	815
YKL085W	XI	279123	280127	+	1005	5141
YKL165C	XI	137932	140691	-	2760	2939
YKL003C	XI	437097	437492	-	396	742
YKL072W	XI	299582	301882	+	2301	1103
YKL177W	XI	114356	114694	+	339	0
YKL186C	XI	92744	93298	-	555	2091
snR64	XI	38811	38911	+	101	143
YKR032W	XI	506517	506831	+	315	0
YKL132C	XI	193574	194866	-	1293	761
YKL223W	XI	2389	2721	+	333	0
YKL078W	XI	288845	291052	+	2208	1461
YKL001C	XI	438777	439385	-	609	1122
YKR040C	XI	518063	518566	-	504	0
YKL046C	XI	351275	352624	-	1350	2797
YKR017C	XI	471694	473349	-	1656	1106
YKL058W	XI	330166	330534	+	369	1186
YKL208W	XI	47157	47972	+	816	517
YKR005C	XI;XI	448521;450021	449951;450167	-;-	1578	331
YKR034W	XI	506898	507707	+	810	10
YKL060C	XI	326408	327487	-	1080	93570
YKL030W	XI	382498	383103	+	606	17
YKL162C-A	XI	145922	146074	-	153	39
YKR091W	XI	611525	612265	+	741	3825
YKL096C-B	XI	259073	259222	-	150	10
YKL171W	XI	127475	130261	+	2787	1964
YKL025C	XI	390240	392279	-	2040	1717
YKL023W	XI	393721	394554	+	834	978
tR(UCU)K	XI	162487	162558	-	72	4
YKL215C	XI	26827	30687	-	3861	4940
YKL136W	XI	186416	186814	+	399	16
YKL033W	XI	375456	378572	+	3117	1440
YKR023W	XI	483419	485011	+	1593	959
YKR067W	XI	567918	570149	+	2232	2495
YKL098W	XI	256770	257843	+	1074	1186
YKL114C	XI	223352	224455	-	1104	1712
YKL145W	XI	174213	175616	+	1404	7370
YKL057C	XI	330856	333969	-	3114	3422
YKL106C-A	XI	237147	237266	-	120	6
YKL128C	XI	200884	201771	-	888	2120
YKL008C	XI	427295	428551	-	1257	2417
YKL029C	XI	382716	384725	-	2010	7620
YKR047W	XI	525257	525562	+	306	72
YKL066W	XI	315281	315724	+	444	472
YKL119C	XI	218570	219217	-	648	757
YEL041W	V	75944	77431	+	1488	358
YER011W	V	175248	176012	+	765	533
YER158W-A	V	491487	491702	+	216	10
snR53	V	61699	61789	+	91	6
YER056C-A	V;V	269423;270149	269751;270185	-;-	366	8516
YEL067C	V	26189	26776	-	588	61
YEL054C	V	52721	53218	-	498	10574
YEL047C	V	65385	66797	-	1413	3864
YER146W	V	462585	462866	+	282	788
YER159C	V	491530	491958	-	429	1132
YER084W	V	327065	327451	+	387	30
YER183C	V	553334	553969	-	636	753
YEL009C-A	V	136371	136778	-	408	16
YEL059C-A	V	42400	42624	-	225	193
YER172C	V	529530	536021	-	6492	7358
YER092W	V	342855	343232	+	378	675
YEL008C-A	V	140726	140818	-	93	15
YEL032W	V	86937	89852	+	2916	3742
YEL010W	V	136279	136629	+	351	1
YEL040W	V	78053	79456	+	1404	5700
YEL059W	V	42652	42960	+	309	11
YER105C	V	367838	372013	-	4176	8797
YEL053C	V	53901	56102	-	2202	1956
YEL046C	V	67629	68792	-	1164	9965
YER137C	V	441373	441819	-	447	234
YER013W	V	178841	182278	+	3438	2281
YER147C-A	V	465203	465613	-	411	12
YEL036C	V	83050	84552	-	1503	3017
YER094C	V	348729	349346	-	618	4008
YER038C	V	226858	228252	-	1395	349
YEL034W	V	85676	86149	+	474	14666
YER144C	V	457806	460223	-	2418	3511
YER069W	V	295410	298001	+	2592	6405
YEL066W	V	26667	27206	+	540	705
YER161C	V	499347	500348	-	1002	1299
YER131W	V	423952	424311	+	360	9817
YER027C	V	208979	210232	-	1254	2736
tH(GUG)E2	V	434541	434612	-	72	10
YER088C-A	V	335696	336019	-	324	272
YER002W	V	156803	157498	+	696	1661
YEL062W	V	34407	36254	+	1848	893
YEL074W	V	6126	6464	+	339	16
YER142C	V	455146	456036	-	891	967
YER035W	V	222639	223076	+	438	1203
YER145C	V	460526	461740	-	1215	3146
YER176W	V	541690	545055	+	3366	2986
YER071C	V	301947	302327	-	381	312
YER150W	V	468370	468816	+	447	3854
YER177W	V	545611	546414	+	804	16620
YER123W	V	404813	406387	+	1575	1930
YEL018W	V	121471	122310	+	840	624
YER116C	V	395348	396172	-	825	636
YER043C	V	235770	237119	-	1350	18738
YEL004W	V	146951	147979	+	1029	409
YER141W	V	453459	454919	+	1461	3848
YER170W	V	525974	526651	+	678	324
YER047C	V	243810	246503	-	2694	1940
YER132C	V	425188	430449	-	5262	4224
YEL068C	V	25646	25978	-	333	352
YER080W	V	319963	321846	+	1884	5660
YER052C	V	256375	257958	-	1584	5073
YER070W	V	298950	301616	+	2667	6924
YEL007W	V	141892	143892	+	2001	2567
tE(UUC)E2	V	354934	355005	+	72	4
YER068C-A	V	295301	295732	-	432	6
YER115C	V	394292	394867	-	576	591
tS(AGA)E	V	86604	86685	+	82	1
YER076C	V	312590	313498	-	909	446
YEL021W	V	116167	116970	+	804	1063
YEL026W	V	101943	102323	+	381	4046
YER040W	V	229795	231987	+	2193	2000
YEL016C	V	124737	126218	-	1482	812
YER012W	V	177835	178431	+	597	4115
YER190W	V	571480	576525	+	5046	25
YER185W	V	559454	560365	+	912	324
YER189W	V	571155	571523	+	369	4
YEL060C	V	40046	41953	-	1908	18405
YEL052W	V	56571	58100	+	1530	2450
YER149C	V	466208	467470	-	1263	1100
YER111C	V	382595	385876	-	3282	2193
YER081W	V	322686	324095	+	1410	2762
YER010C	V	172634	173338	-	705	904
YER018C	V	191959	192624	-	666	540
YEL076C	V	4464	5114	-	651	1
YEL018C-A	V	121455	121988	-	534	0
YER072W	V	302806	303195	+	390	2073
YER093C	V	343320	347612	-	4293	3098
YER178W	V	546817	548079	+	1263	15338
YER030W	V	213437	213898	+	462	1890
YER128W	V	415859	416470	+	612	341
YER003C	V;V	157736;159088	158994;159118	-;-	1290	8888
YER163C	V	503084	503782	-	699	1756
YEL005C	V	145907	146755	-	849	603
YER173W	V	536300	538279	+	1980	630
YEL065W	V	27657	29543	+	1887	1339
YEL055C	V	48471	51539	-	3069	7297
YER029C	V	212587	213177	-	591	743
YER089C	V	335946	337340	-	1395	4283
YER179W	V;V	548421;548645	548552;549517	+;+	1005	111
YEL011W	V	133120	135234	+	2115	17570
YER166W	V	512744	517459	+	4716	8770
YER061C	V	278298	279626	-	1329	2679
YER082C	V	324272	325936	-	1665	3269
YER118C	V	397952	399055	-	1104	1840
YER152C	V	472657	473988	-	1332	3217
YER107C	V	373448	374545	-	1098	1443
YER020W	V	195168	196517	+	1350	5944
YER125W	V	410189	412618	+	2430	9255
YER122C	V	402871	404352	-	1482	4828
YER038W-A	V	228451	228831	+	381	32
YER057C	V	270737	271126	-	390	1686
YEL033W	V	86179	86598	+	420	2962
YER006W	V	162723	164285	+	1563	6565
YER007W	V	164527	166083	+	1557	392
YER078W-A	V	318646	318810	+	165	5
tA(UGC)E	V	312023	312095	-	73	1
YEL002C	V	148722	150014	-	1293	6000
YEL064C	V	29797	31239	-	1443	395
YER103W	V	364589	366517	+	1929	2546
YER007C-A	V;V	166237;166875	166771;166885	-;-	546	2240
snR80	V	52150	52320	-	171	622
YER093C-A	V;V	347912;348277	348201;348400	-;-	414	340
YER120W	V	401135	401869	+	735	6755
YER033C	V	218057	221287	-	3231	2255
YER054C	V	262052	263698	-	1647	1342
tV(AAC)E2	V	469457	469530	+	74	2
YER164W	V	505392	509798	+	4407	6642
YER139C	V	450563	451243	-	681	513
snR52	V	431129	431220	-	92	41
YEL042W	V	73771	75327	+	1557	6084
YER190C-A	V	574804	575379	-	576	0
tS(UGA)E	V	288443	288524	-	82	9
YER008C	V	167808	171818	-	4011	5830
YER114C	V	390590	393712	-	3123	5165
YER034W	V	221846	222403	+	558	432
YEL008W	V	140512	140892	+	381	20
YER014W	V	182600	184219	+	1620	2332
YER143W	V	456319	457605	+	1287	2387
YER053C-A	V	260933	261046	-	114	64
YER028C	V	210692	211876	-	1185	457
YER048C	V	246982	248157	-	1176	4108
YER044C	V	237570	238016	-	447	1098
YEL039C	V	79636	79977	-	342	491
YER053C	V	258737	259639	-	903	3417
tQ(UUG)E1	V	250286	250357	+	72	0
YEL034C-A	V	85613	86215	-	603	91
YER155C	V	476345	482848	-	6504	18965
snR4	V	424698	424883	+	186	1272
YER050C	V	253971	254387	-	417	1227
YER031C	V	214076	214747	-	672	2366
YER037W	V	225889	226854	+	966	1526
YEL049W	V	63728	64090	+	363	57
tQ(UUG)E2	V	131082	131153	-	72	0
YEL006W	V	144327	145334	+	1008	1253
YER100W	V	359562	360314	+	753	1861
YER181C	V	551473	551796	-	324	54
YER015W	V	184541	186775	+	2235	1172
YER129W	V	417281	420709	+	3429	3493
YER172C-A	V	536275	536655	-	381	2
tR(UCU)E	V	138666	138737	+	72	0
YEL072W	V	13720	14415	+	696	265
YEL075C	V	5345	5713	-	369	11
YER048W-A	V	250718	251002	+	285	1047
YER051W	V	254656	256134	+	1479	865
YER171W	V	527082	529418	+	2337	1634
YER078C	V	316807	318342	-	1536	1380
YER169W	V	523369	525759	+	2391	2801
YEL003W	V;V	148176;148283	148194;148599	+;+	336	860
YEL077W-A	V	630	1112	+	483	2
YEL017C-A	V	122798	122929	-	132	1778
YER133W	V;V	432495;433197	432671;433958	+;+	939	5783
YER152W-A	V	473485	474051	+	567	18
YER060W	V	274567	276153	+	1587	1630
YER186C	V	561705	562625	-	921	992
YER188W	V	568040	568759	+	720	318
YEL045C	V	68840	69265	-	426	375
YER022W	V	198812	200875	+	2064	1861
YER148W-A	V	466185	466763	+	579	19
YER157W	V	484788	487193	+	2406	1818
YER014C-A	V;V	183731;184678	184169;184700	-;-	462	3
YEL076C-A	V;V	4185;4602	4322;5114	-;-	651	9
YEL038W	V	80462	81145	+	684	1289
YER066W	V	290242	290799	+	558	227
YER098W	V	355466	357730	+	2265	2293
YEL035C	V	85045	85545	-	501	10
RPR1	V	117667	118035	-	369	12231
